date,ras_tanura_chiba_clean_55k_ws,houston_amsterdam_lr1_clean_60k_ws
01/01/24,251.25,191.25
01/02/24,273.75,191.25
01/03/24,242,181
01/04/24,223.75,170.63
01/05/24,246,140
01/06/24,236.25,176.25
01/07/24,191.25,173.75
01/08/24,135,154
01/09/24,155,133.75
01/10/24,129.38,140.25
01/11/24,111,130
01/12/24,110,145
01/01/25,137.5,137
01/02/25,130.63,103.75
01/03/25,160,112.5
01/04/25,141.25,110
01/05/25,152,103.5
01/06/25,167.5,129.38
01/07/25,145.63,130
01/08/25,158.5,148
01/09/25,145,150
01/10/25,128.5,155
01/11/25,158.75,162.5
01/12/25,171.88,163.75
01/01/26,203,175
01/02/26,200,192.5
01/03/26,491.25,361.25
01/04/26,675,397.5
01/05/26,685,229
01/06/26,675,200
